Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,143.18,144.15,140.58,140.76,140.04,2362800.0
2022-02-24,138.47,143.68,137.9,143.33,142.6,3439800.0
2022-02-25,143.85,148.51,143.66,148.45,147.69,2934600.0
2022-02-28,146.49,147.4,143.89,145.85,145.1,4212600.0
2022-03-01,146.73,147.69,145.07,145.76,145.02,3458300.0
2022-03-02,146.26,148.53,145.72,147.64,146.89,2816600.0
2022-03-03,148.86,150.48,147.3,149.58,148.82,2248600.0
2022-03-04,148.03,150.96,147.24,150.84,150.07,2780800.0
2022-03-07,150.59,151.24,148.54,148.91,148.15,2590700.0
2022-03-08,148.31,150.3,146.74,146.99,146.24,3021400.0
2022-03-09,149.18,152.0,148.32,150.48,149.71,1895100.0
2022-03-10,148.99,151.54,147.78,151.08,150.31,1988400.0
2022-03-11,152.22,152.55,147.68,147.83,147.07,1997400.0
2022-03-14,148.4,150.3,147.6,149.17,148.41,2391400.0
2022-03-15,151.42,152.85,149.47,151.84,151.06,2171300.0
2022-03-16,153.4,155.27,151.12,154.57,153.78,3752700.0
2022-03-17,153.73,156.72,152.08,156.66,156.66,2218700.0
2022-03-18,156.26,160.43,156.26,160.16,160.16,6604900.0
2022-03-21,160.45,160.85,157.29,158.92,158.92,2702000.0
2022-03-22,160.15,160.79,157.56,158.67,158.67,3361787.0
