Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,173.95,177.31,173.95,175.75,175.75,2962400
2022-04-19,176.81,178.62,175.98,178.05,178.05,3328200
2022-04-20,180.39,183.19,179.51,179.64,179.64,2149700
2022-04-21,180.95,183.11,176.92,177.58,177.58,2367600
2022-04-22,177.91,178.33,173.07,173.25,173.25,3203200
2022-04-25,171.84,172.77,168.03,172.5,172.5,3113700
2022-04-26,170.14,172.54,168.96,169.46,169.46,2489400
2022-04-27,168.82,171.74,168.05,170.43,170.43,2405500
2022-04-28,171.8,171.95,168.33,171.08,171.08,2930400
2022-04-29,170.7,172.15,165.59,166.1,166.1,3452800
2022-05-02,168.4,169.1,164.1,167.54,167.54,2395000
2022-05-03,169.12,171.6,168.03,169.66,169.66,2250100
2022-05-04,169.52,174.28,168.52,173.72,173.72,2186500
2022-05-05,171.47,171.79,166.33,168.87,168.87,1881600
2022-05-06,168.46,168.83,164.59,166.62,166.62,2342000
2022-05-09,164.57,165.62,162.7,163.67,163.67,2050500
2022-05-10,164.71,166.23,159.62,161.84,161.84,2005600
2022-05-11,162.54,166.55,159.65,159.83,159.83,1756100
2022-05-12,158.88,160.52,156.2,159.3,159.3,2030600
2022-05-13,161.05,161.45,156.75,157.44,157.44,2162100
2022-05-16,157.08,157.75,153.12,155.27,155.27,2598488
