Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,29.25,29.46,29.11,29.22,29.22,6544100
2022-04-19,29.35,29.89,29.3,29.83,29.83,6401100
2022-04-20,30.0,30.28,29.9,30.17,30.17,5911600
2022-04-21,30.09,30.55,29.95,30.37,30.37,5784100
2022-04-22,30.37,30.38,29.87,29.89,29.89,7183700
2022-04-25,29.96,30.02,29.37,29.76,29.76,7183300
2022-04-26,29.7,29.95,29.24,29.25,29.25,5303700
2022-04-27,29.2,29.4,28.89,28.9,28.9,4322500
2022-04-28,29.09,29.24,28.88,29.14,29.14,5286900
2022-04-29,29.01,29.07,28.26,28.31,28.31,5061200
2022-05-02,28.43,28.5,27.75,28.11,28.11,5218500
2022-05-03,28.18,28.61,28.05,28.17,28.17,4963600
2022-05-04,28.31,28.9,28.21,28.89,28.89,6061700
2022-05-05,28.4,29.1,28.26,28.8,28.8,5584200
2022-05-06,28.66,29.3,28.53,29.23,29.23,6842600
2022-05-09,29.11,29.12,28.68,28.79,28.79,5723000
2022-05-10,28.81,29.06,27.89,28.28,28.28,6608500
2022-05-11,28.33,28.91,28.24,28.4,28.4,5974500
2022-05-12,28.41,28.5,28.08,28.34,28.34,5770400
2022-05-13,28.55,28.88,28.32,28.77,28.77,4521500
2022-05-16,28.83,29.07,28.61,28.98,28.98,3617955
