Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,113.87,114.27,110.64,110.89,110.89,2119700.0
2022-02-24,107.16,109.35,105.15,108.95,108.95,2973800.0
2022-02-25,109.62,113.57,109.58,112.8,112.8,2140900.0
2022-02-28,108.83,111.78,108.76,111.66,111.66,2683700.0
2022-03-01,110.04,110.53,104.72,105.78,105.78,3004400.0
2022-03-02,106.84,110.15,106.64,109.37,109.37,2032100.0
2022-03-03,109.57,110.62,107.87,109.54,109.54,1766500.0
2022-03-04,107.15,107.15,105.0,106.43,106.43,2055500.0
2022-03-07,105.09,105.72,101.89,102.05,102.05,2427700.0
2022-03-08,103.41,106.93,102.48,103.7,103.7,2675200.0
2022-03-09,107.87,108.98,106.66,106.89,106.89,2351100.0
2022-03-10,105.49,106.67,104.72,106.15,106.15,1317200.0
2022-03-11,107.43,108.4,105.92,106.05,106.05,1633100.0
2022-03-14,108.59,111.16,107.81,109.26,109.26,2991400.0
2022-03-15,109.96,111.36,108.5,109.79,109.79,1769700.0
2022-03-16,111.26,114.0,111.26,113.96,113.96,2560500.0
2022-03-17,112.5,115.41,111.67,115.4,115.4,1859100.0
2022-03-18,115.09,115.54,113.57,115.23,115.23,5711300.0
2022-03-21,116.47,116.83,114.54,116.09,116.09,2089800.0
2022-03-22,117.62,120.31,117.62,119.0,119.0,2422908.0
