Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,79.84,80.13,76.31,76.88,75.98,2859200
2021-11-05,78.0,78.38,76.6,77.77,76.86,2682400
2021-11-08,78.6,79.07,77.42,77.99,77.08,1640600
2021-11-09,77.82,79.23,77.27,79.17,78.25,2363700
2021-11-10,79.08,79.76,77.11,77.53,76.63,2910300
2021-11-11,77.5,78.72,77.18,77.87,76.96,1510500
2021-11-12,77.18,78.14,76.56,77.47,76.57,2146500
2021-11-15,78.1,79.56,77.26,78.91,77.99,3721000
2021-11-16,78.04,78.5,76.6,76.99,76.99,2950000
2021-11-17,76.23,76.57,74.47,74.68,74.68,2299800
2021-11-18,74.47,75.07,73.0,73.71,73.71,2548600
2021-11-19,72.01,72.3,69.51,69.64,69.64,4692200
2021-11-22,69.61,73.44,69.57,72.19,72.19,3782400
2021-11-23,73.16,74.14,72.84,73.83,73.83,3452500
2021-11-24,73.38,74.79,73.14,73.87,73.87,2305200
2021-11-26,69.87,69.97,67.08,69.25,69.25,5044500
2021-11-29,70.74,71.91,69.02,69.86,69.86,3400500
2021-11-30,68.01,69.74,68.01,69.17,69.17,5819900
2021-12-01,71.4,71.83,68.63,68.67,68.67,3976800
2021-12-02,68.83,71.73,67.93,71.38,71.38,3617500
2021-12-03,72.5,72.88,69.47,70.0,70.0,3219500
