Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,225.37,229.99,224.09,225.27,221.5,2343400.0
2022-02-24,230.9,231.99,218.24,225.9,222.12,3558800.0
2022-02-25,222.81,231.73,222.0,229.28,229.28,2630000.0
2022-02-28,229.83,240.03,228.2,239.6,239.6,4133400.0
2022-03-01,238.22,242.19,237.04,240.47,240.47,3839600.0
2022-03-02,243.5,245.71,240.65,242.25,242.25,2987900.0
2022-03-03,239.96,243.23,236.13,238.08,238.08,2700100.0
2022-03-04,238.71,241.71,235.82,241.16,241.16,3524100.0
2022-03-07,242.44,246.49,233.86,236.63,236.63,3916100.0
2022-03-08,241.06,243.48,223.3,237.37,237.37,5049100.0
2022-03-09,233.82,233.97,223.75,230.4,230.4,4261700.0
2022-03-10,234.3,238.58,229.97,237.75,237.75,3069200.0
2022-03-11,234.56,238.16,232.06,232.49,232.49,2262900.0
2022-03-14,231.33,233.06,221.7,229.34,229.34,2679000.0
2022-03-15,220.01,229.25,218.6,227.79,227.79,2967400.0
2022-03-16,227.56,231.53,226.53,230.31,230.31,2803600.0
2022-03-17,233.0,242.27,233.0,241.39,241.39,2596400.0
2022-03-18,242.06,244.36,239.3,239.86,239.86,4826100.0
2022-03-21,244.5,251.41,244.04,251.18,251.18,3069700.0
2022-03-22,251.26,252.47,246.75,251.32,251.32,2731383.0
