Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,132.43,134.04,132.02,133.48,133.48,4319500
2021-09-28,131.75,132.74,129.7,129.9,129.9,8851700
2021-09-29,130.59,131.45,128.89,129.28,129.28,7037200
2021-09-30,130.35,131.08,128.7,128.98,128.98,6976800
2021-10-01,129.8,130.02,126.47,128.71,128.71,6863700
2021-10-04,128.92,129.79,125.92,126.68,126.68,8470300
2021-10-05,126.13,128.77,125.69,127.53,127.53,9244300
2021-10-06,126.55,128.27,126.07,128.06,128.06,8513700
2021-10-07,129.26,130.72,127.59,127.84,127.84,8010600
2021-10-08,128.59,128.59,126.21,126.55,126.55,6917500
2021-10-11,126.06,127.23,124.88,124.94,124.94,6288200
2021-10-12,125.38,125.47,122.17,122.95,122.95,10531500
2021-10-13,125.2,126.32,123.52,125.04,125.04,12373800
2021-10-14,126.16,129.3,125.99,128.66,128.66,10637900
2021-10-15,129.02,130.48,128.68,130.2,130.2,7607100
2021-10-18,129.32,130.27,128.24,130.12,130.12,5290000
2021-10-19,131.02,132.8,130.32,132.5,132.5,7330700
2021-10-20,132.5,133.01,131.26,132.16,132.16,4804100
2021-10-21,132.0,133.26,131.4,133.05,133.05,4579200
2021-10-22,132.9,133.69,131.43,131.62,131.62,5206000
2021-10-25,131.82,133.17,131.3,131.93,131.93,4874900
2021-10-26,132.9,133.79,131.07,131.54,131.54,2765443
