Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,77.0,79.98,76.53,78.75,78.75,1829500
2022-04-12,79.39,80.28,78.48,78.78,78.78,1934700
2022-04-13,80.19,82.54,80.12,81.97,81.97,2497400
2022-04-14,82.5,84.89,82.35,82.58,82.58,2276800
2022-04-18,81.97,82.93,80.99,81.32,81.32,1514000
2022-04-19,82.03,84.9,82.03,84.48,84.48,2438000
2022-04-20,84.48,85.98,84.0,84.35,84.35,1867700
2022-04-21,87.05,87.68,83.09,83.4,83.4,4374100
2022-04-22,83.0,83.7,81.13,81.72,81.72,1900300
2022-04-25,80.07,82.47,79.65,82.38,82.38,2632800
2022-04-26,81.9,82.15,78.58,78.67,78.67,2367400
2022-04-27,78.8,80.43,77.85,79.6,79.6,2029800
2022-04-28,80.94,81.33,78.61,80.69,80.69,2386100
2022-04-29,80.6,81.51,77.12,77.73,77.73,2858600
2022-05-02,77.77,78.8,76.14,78.38,78.38,3003300
2022-05-03,79.0,79.29,76.31,77.6,77.6,2406700
2022-05-04,77.72,78.12,74.08,77.81,77.81,3799600
2022-05-05,77.59,78.97,72.95,73.59,73.59,4510600
2022-05-06,72.54,73.19,69.75,69.85,69.85,3805800
2022-05-09,68.73,68.6,63.38,64.46,64.46,2819786
