Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,24.09,24.42,23.96,24.05,23.87,5883900
2021-11-23,24.25,24.62,24.15,24.59,24.4,5467100
2021-11-24,24.55,24.89,24.52,24.58,24.39,4568800
2021-11-26,23.58,23.72,23.05,23.47,23.29,6513800
2021-11-29,23.84,24.04,23.36,23.54,23.36,8162300
2021-11-30,23.19,23.29,22.72,22.75,22.58,13243200
2021-12-01,23.25,23.52,22.15,22.15,21.98,8936200
2021-12-02,22.33,22.77,22.08,22.63,22.63,13700600
2021-12-03,22.64,22.72,21.68,21.9,21.9,10420100
2021-12-06,22.27,22.81,22.05,22.44,22.44,8280900
2021-12-07,22.63,23.07,22.58,22.87,22.87,7329300
2021-12-08,22.9,23.1,22.55,22.64,22.64,6314800
2021-12-09,22.48,22.64,22.27,22.29,22.29,8410200
2021-12-10,22.52,22.55,21.93,22.23,22.23,7223200
2021-12-13,22.11,22.19,21.36,21.45,21.45,9378600
2021-12-14,21.49,22.0,21.46,21.83,21.83,9017500
2021-12-15,21.97,22.11,21.61,21.87,21.87,8580100
2021-12-16,22.17,22.52,21.84,21.96,21.96,7307300
2021-12-17,21.84,21.97,21.08,21.27,21.27,17185000
2021-12-20,20.92,20.94,20.25,20.69,20.69,12154300
2021-12-21,20.96,21.42,20.96,21.32,21.32,6393100
2021-12-22,21.29,21.47,21.15,21.32,21.32,3871690
