Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,102.41,105.02,102.3,104.49,104.49,2969700
2022-04-19,104.38,107.85,104.33,107.36,107.36,3030200
2022-04-20,107.92,109.35,107.81,108.41,108.41,2072700
2022-04-21,109.41,110.42,106.77,107.18,107.18,2536800
2022-04-22,105.95,106.41,103.29,103.46,103.46,2430100
2022-04-25,103.18,105.88,101.97,105.61,105.61,2748200
2022-04-26,104.28,105.2,102.97,103.03,103.03,2425000
2022-04-27,102.72,102.97,100.36,101.25,101.25,2648000
2022-04-28,102.44,104.49,101.37,104.17,104.17,2373300
2022-04-29,102.52,103.28,99.5,99.77,99.77,2696800
2022-05-02,100.4,101.73,98.88,101.32,101.32,3059100
2022-05-03,101.62,101.68,98.82,100.45,100.45,2449700
2022-05-04,100.49,104.21,98.92,103.92,103.92,2449200
2022-05-05,102.4,103.31,98.48,99.89,99.89,2719500
2022-05-06,99.13,99.22,95.07,96.24,96.24,3446300
2022-05-09,95.5,96.35,93.03,93.41,93.41,3225500
2022-05-10,94.68,95.12,87.82,89.62,89.62,5568400
2022-05-11,89.1,90.49,87.68,87.85,87.85,3338000
2022-05-12,87.15,89.68,86.96,89.12,89.12,3092000
2022-05-13,90.03,92.2,89.71,92.06,92.06,2701800
2022-05-16,91.53,92.37,90.05,91.81,91.81,2540513
