Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,88.34,89.09,87.76,88.06,87.55,3711700
2021-11-05,89.77,91.23,89.06,91.18,90.65,4328600
2021-11-08,91.31,91.67,90.31,90.71,90.18,4469100
2021-11-09,90.71,91.07,89.97,90.99,90.46,3372900
2021-11-10,91.02,91.44,90.14,90.18,89.65,3503200
2021-11-11,90.08,90.42,88.69,89.05,88.53,4993600
2021-11-12,89.18,89.25,88.62,88.86,88.34,3273100
2021-11-15,89.63,89.63,88.84,89.35,88.83,3423100
2021-11-16,89.27,89.82,88.81,88.9,88.38,4746200
2021-11-17,88.76,89.05,87.19,87.45,86.94,3910600
2021-11-18,87.19,87.79,86.34,86.91,86.91,4376300
2021-11-19,86.25,86.25,85.06,85.43,85.43,5478200
2021-11-22,85.81,87.64,85.68,86.8,86.8,6819800
2021-11-23,87.32,87.74,86.74,87.31,87.31,5950700
2021-11-24,86.93,87.48,86.68,87.19,87.19,3464500
2021-11-26,83.56,83.59,81.42,83.0,83.0,7113600
2021-11-29,84.09,84.45,82.52,82.94,82.94,5835000
2021-11-30,82.12,82.5,80.28,80.92,80.92,7966000
2021-12-01,82.14,82.14,79.0,79.05,79.05,8499000
2021-12-02,80.05,82.23,79.51,81.66,81.66,6409100
2021-12-03,81.61,82.12,80.12,81.11,81.11,6037200
