Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,113.61,114.67,112.91,113.68,113.68,3988800
2021-09-28,112.68,113.0,111.08,111.71,111.71,5917700
2021-09-29,111.9,112.52,111.57,112.17,112.17,4389100
2021-09-30,111.52,112.16,110.31,110.31,110.31,5974500
2021-10-01,110.89,113.46,110.54,112.92,112.92,5636900
2021-10-04,112.43,113.08,111.02,111.46,111.46,4497700
2021-10-05,111.13,111.48,110.03,110.85,110.85,5884000
2021-10-06,110.18,112.02,109.48,111.64,111.64,5734500
2021-10-07,112.38,112.98,112.05,112.21,112.21,5549500
2021-10-08,112.58,112.66,111.13,111.22,111.22,3786600
2021-10-11,112.89,113.56,110.92,110.94,110.94,5987300
2021-10-12,111.72,111.87,110.66,111.0,111.0,3866800
2021-10-13,111.39,111.48,109.41,110.76,110.76,4806500
2021-10-14,111.08,112.61,111.01,111.87,111.87,5194900
2021-10-15,112.45,112.92,110.95,111.45,111.45,5855800
2021-10-18,111.44,113.57,110.96,113.37,113.37,4958400
2021-10-19,113.74,114.54,112.76,113.49,113.49,5799300
2021-10-20,113.06,115.11,112.71,113.86,113.86,7645200
2021-10-21,113.93,114.56,113.61,114.44,114.44,3684300
2021-10-22,114.41,114.98,114.07,114.55,114.55,3396000
2021-10-25,114.74,114.88,113.36,114.71,114.71,4290100
2021-10-26,114.92,115.28,114.41,114.65,114.65,2675360
