Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,81.62,83.47,81.13,81.58,81.58,5632300
2022-04-12,81.69,82.76,79.58,80.07,80.07,7596900
2022-04-13,80.08,84.05,79.69,83.83,83.83,9598100
2022-04-14,84.0,85.59,82.46,82.75,82.75,11556000
2022-04-18,76.3,77.0,72.9,74.94,74.94,24023500
2022-04-19,75.04,77.68,74.99,76.9,76.9,15361200
2022-04-20,77.56,78.13,76.35,76.45,76.45,8671300
2022-04-21,77.61,78.24,70.78,73.27,73.27,18283400
2022-04-22,73.3,73.52,70.25,70.32,70.32,11945500
2022-04-25,69.61,70.73,68.55,70.31,70.31,9841800
2022-04-26,69.76,70.6,68.51,68.54,68.54,8661200
2022-04-27,69.0,70.34,68.54,68.58,68.58,6988200
2022-04-28,69.13,69.62,67.55,69.12,69.12,6481100
2022-04-29,69.0,69.61,66.15,66.33,66.33,7737400
2022-05-02,67.62,68.72,66.46,67.89,67.89,8411800
2022-05-03,68.15,70.02,67.94,69.46,69.46,9513300
2022-05-04,69.58,71.6,68.87,71.36,71.36,6842000
2022-05-05,70.4,70.55,68.34,69.85,69.85,7036300
2022-05-06,69.33,69.55,66.72,67.42,67.42,8118100
2022-05-09,66.44,66.49,64.6,65.25,65.25,3618910
