Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,42.64,42.64,41.27,41.33,41.33,7999000
2022-04-12,41.99,42.91,41.3,41.53,41.53,8112800
2022-04-13,42.1,42.67,41.51,42.57,42.57,8596100
2022-04-14,42.36,43.47,42.14,43.25,43.25,10714500
2022-04-18,43.55,44.44,43.15,43.68,43.68,11127900
2022-04-19,43.13,44.51,43.0,43.43,43.43,10033700
2022-04-20,43.57,43.87,41.78,42.68,42.68,11945100
2022-04-21,43.34,43.43,40.12,40.65,40.65,18181500
2022-04-22,39.97,43.49,39.69,41.65,41.65,20746000
2022-04-25,40.0,40.03,36.95,38.69,38.69,23976100
2022-04-26,38.8,40.63,38.02,39.54,39.54,19941000
2022-04-27,40.15,40.46,39.29,39.95,39.95,10619400
2022-04-28,40.36,40.49,38.54,40.11,40.11,11502600
2022-04-29,40.52,40.91,38.83,39.01,39.01,10611400
2022-05-02,38.34,39.52,38.17,39.11,39.11,11445200
2022-05-03,38.99,40.49,38.91,40.15,40.15,8876500
2022-05-04,41.29,42.69,40.45,42.6,42.6,11713700
2022-05-05,43.24,43.43,41.42,42.08,42.08,16281500
2022-05-06,42.58,43.6,41.51,43.03,43.03,12390800
2022-05-09,41.84,42.17,39.46,39.69,39.69,6717525
