Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,64.3,64.59,62.73,62.84,62.84,5992500.0
2022-02-24,62.5,62.97,61.77,62.88,62.88,8625500.0
2022-02-25,63.52,65.08,63.31,65.04,65.04,8768800.0
2022-02-28,64.6,64.98,64.1,64.77,64.77,8132900.0
2022-03-01,64.73,65.06,62.97,64.1,64.1,7192400.0
2022-03-02,64.14,64.85,63.97,64.57,64.57,4959200.0
2022-03-03,64.86,66.74,64.84,66.4,66.4,6799700.0
2022-03-04,65.93,67.61,65.66,67.58,67.58,6514700.0
2022-03-07,67.8,69.64,66.9,69.23,69.23,9994900.0
2022-03-08,68.92,69.49,67.73,67.82,67.82,7528900.0
2022-03-09,68.27,68.45,67.07,67.12,67.12,5795800.0
2022-03-10,67.01,68.75,66.85,68.61,68.61,5693500.0
2022-03-11,68.33,69.15,68.33,68.69,68.69,4415500.0
2022-03-14,68.94,69.45,68.28,68.66,68.66,4530200.0
2022-03-15,69.39,69.5,68.34,68.66,68.66,4836700.0
2022-03-16,68.44,68.68,67.48,68.52,68.52,5351500.0
2022-03-17,68.58,69.09,68.24,68.41,68.41,5035900.0
2022-03-18,68.56,68.82,67.61,68.03,68.03,8192100.0
2022-03-21,68.25,69.23,68.16,68.89,68.89,4730600.0
2022-03-22,68.96,69.03,68.22,68.82,68.82,3438129.0
