Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,139.12,140.32,133.43,134.07,132.39,1978500.0
2022-02-24,129.93,138.18,129.35,137.82,136.09,3105900.0
2022-02-25,138.65,140.15,137.67,139.7,137.95,1785600.0
2022-02-28,137.79,139.9,136.56,137.56,135.83,2381900.0
2022-03-01,137.84,138.34,133.44,134.6,132.91,2182100.0
2022-03-02,135.93,139.73,135.92,138.77,137.03,2096500.0
2022-03-03,140.06,140.94,137.56,139.41,137.66,1890100.0
2022-03-04,137.65,137.91,133.82,136.89,135.17,2315100.0
2022-03-07,135.84,135.89,128.2,128.27,126.66,3966300.0
2022-03-08,128.92,133.89,128.1,131.39,129.74,3123900.0
2022-03-09,133.4,135.32,132.44,132.57,132.57,1728000.0
2022-03-10,130.02,132.93,129.47,132.61,132.61,1565700.0
2022-03-11,134.01,134.09,130.0,130.05,130.05,2547000.0
2022-03-14,131.13,132.54,126.76,128.19,128.19,2455800.0
2022-03-15,128.6,130.03,127.03,128.88,128.88,1883600.0
2022-03-16,131.14,132.46,128.29,131.33,131.33,2550300.0
2022-03-17,130.49,132.41,129.94,131.65,131.65,2045100.0
2022-03-18,129.63,131.56,129.47,130.84,130.84,4174900.0
2022-03-21,131.65,131.82,127.97,129.06,129.06,2679100.0
2022-03-22,131.15,134.45,130.86,132.84,132.84,2419824.0
