Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,386.49,391.59,385.87,390.56,390.56,1212500
2022-04-19,391.33,397.11,389.8,395.35,395.35,1869600
2022-04-20,397.8,402.77,396.74,397.25,397.25,1768600
2022-04-21,399.23,403.48,389.24,390.83,390.83,1537900
2022-04-22,388.52,389.52,379.32,379.66,379.66,1749200
2022-04-25,377.25,381.4,373.68,381.22,381.22,2197600
2022-04-26,380.25,384.21,374.71,375.5,375.5,1688500
2022-04-27,376.76,384.73,376.76,380.64,380.64,1930700
2022-04-28,384.65,389.2,379.81,386.55,386.55,1690100
2022-04-29,382.33,387.26,375.37,376.5,376.5,2103100
2022-05-02,364.0,371.64,360.27,367.32,367.32,3850000
2022-05-03,367.05,372.01,356.95,359.63,359.63,2767100
2022-05-04,356.8,364.97,347.67,364.32,364.32,3722300
2022-05-05,360.22,360.41,343.98,346.9,346.9,4252200
2022-05-06,346.82,346.82,337.97,345.76,345.76,3353700
2022-05-09,337.4,342.52,327.92,328.77,328.77,4154900
2022-05-10,333.73,336.35,322.67,327.99,327.99,2959600
2022-05-11,324.72,334.16,323.07,325.81,325.81,2987900
2022-05-12,322.97,332.27,322.2,329.66,329.66,3251300
2022-05-13,335.3,341.07,332.56,336.85,336.85,2811700
2022-05-16,333.34,337.58,330.91,335.36,335.36,2225838
