Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,135.86,136.46,133.58,133.64,133.64,1285100.0
2022-02-24,132.9,134.66,131.01,134.23,134.23,2032500.0
2022-02-25,136.91,141.95,136.17,141.44,141.44,2165600.0
2022-02-28,142.42,145.7,140.84,144.22,144.22,3274300.0
2022-03-01,144.25,146.25,143.23,145.17,145.17,2274700.0
2022-03-02,145.54,149.24,145.18,148.37,148.37,2759500.0
2022-03-03,148.37,150.46,148.17,149.61,149.61,2311700.0
2022-03-04,149.08,151.99,148.75,151.92,151.92,1875300.0
2022-03-07,151.23,153.29,149.84,152.84,152.84,2287400.0
2022-03-08,154.12,155.23,152.07,153.39,153.39,1949100.0
2022-03-09,154.11,154.75,152.11,152.3,152.3,1613800.0
2022-03-10,152.76,155.37,151.79,155.28,155.28,1600100.0
2022-03-11,155.19,157.07,153.92,154.21,154.21,1677200.0
2022-03-14,155.93,155.95,151.95,153.97,153.97,2362700.0
2022-03-15,156.47,157.15,153.68,155.01,155.01,1808200.0
2022-03-16,155.0,155.48,152.58,154.37,154.37,1678000.0
2022-03-17,154.69,156.33,153.82,155.83,155.83,2223000.0
2022-03-18,155.59,156.98,154.81,156.29,156.29,4325000.0
2022-03-21,156.98,159.5,156.77,159.25,159.25,2203900.0
2022-03-22,158.53,159.02,156.97,158.13,158.13,3405917.0
