Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,99.35,99.35,95.61,96.53,96.53,2063900
2021-11-05,97.57,97.91,95.49,95.67,95.67,2510800
2021-11-08,96.33,96.93,95.9,96.63,96.63,1372000
2021-11-09,95.74,96.69,95.21,96.03,96.03,1172300
2021-11-10,95.8,98.33,95.61,97.55,97.55,1708400
2021-11-11,97.44,99.14,97.15,98.48,98.48,1337300
2021-11-12,98.7,99.28,98.09,99.07,99.07,2585900
2021-11-15,99.42,99.93,98.86,99.92,99.92,1384500
2021-11-16,99.58,99.72,98.56,98.61,98.61,1740300
2021-11-17,98.32,98.36,95.99,96.19,96.19,1367900
2021-11-18,96.43,96.68,94.85,95.24,95.24,1156100
2021-11-19,94.43,95.1,93.42,94.75,94.75,1229000
2021-11-22,96.27,98.16,95.75,97.25,97.25,1467000
2021-11-23,97.76,98.42,97.19,98.2,98.2,1518600
2021-11-24,97.65,98.68,97.04,98.26,98.26,1096300
2021-11-26,93.4,94.07,92.47,93.35,93.35,1330400
2021-11-29,95.04,95.35,92.61,93.19,93.19,1872500
2021-11-30,91.25,91.43,88.61,88.97,88.97,4767100
2021-12-01,91.17,92.44,88.56,88.62,88.62,2753400
2021-12-02,89.68,93.0,89.37,92.39,92.39,2494600
2021-12-03,92.56,92.98,89.12,90.01,90.01,2634600
