Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,94.0,95.33,93.63,95.3,95.3,1375900
2021-11-05,95.7,97.36,95.53,96.75,96.75,1613500
2021-11-08,97.12,98.14,97.0,97.72,97.72,1275200
2021-11-09,97.69,99.5,96.89,99.29,99.29,2631900
2021-11-10,99.18,100.67,98.18,99.02,99.02,1876500
2021-11-11,99.15,106.68,99.1,105.26,105.26,5507400
2021-11-12,105.94,116.93,105.6,108.12,108.12,7775800
2021-11-15,108.19,108.3,105.21,105.66,105.66,3037300
2021-11-16,106.09,106.45,103.33,103.66,103.66,2918100
2021-11-17,103.67,104.5,100.36,100.89,100.89,3194800
2021-11-18,101.43,101.94,100.25,101.25,101.25,2736700
2021-11-19,101.88,102.82,100.65,100.78,100.78,1831300
2021-11-22,101.1,103.69,100.64,101.62,101.62,2405400
2021-11-23,101.93,103.47,100.01,101.58,101.58,2040700
2021-11-24,101.18,101.74,100.5,101.04,101.04,1644700
2021-11-26,99.22,100.36,98.07,98.62,98.62,1345400
2021-11-29,100.77,104.43,100.69,104.06,104.06,2425400
2021-11-30,102.95,104.73,101.64,102.67,102.67,4115800
2021-12-01,104.16,108.45,103.71,103.84,103.84,3057500
2021-12-02,103.29,106.11,102.62,105.11,105.11,2016200
2021-12-03,103.77,106.32,103.09,105.41,105.41,3038400
