Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,159.77,160.34,155.58,155.63,154.87,2198600.0
2022-02-24,151.6,156.58,151.21,156.34,155.58,2630200.0
2022-02-25,156.22,162.18,155.5,161.89,161.1,2140500.0
2022-02-28,159.06,164.22,159.06,162.7,161.9,2186200.0
2022-03-01,162.39,163.53,157.09,158.04,157.27,2220700.0
2022-03-02,159.95,164.84,159.62,164.31,163.51,2028800.0
2022-03-03,166.29,168.3,164.65,166.15,165.34,1642600.0
2022-03-04,162.66,164.19,160.11,161.66,160.87,2317700.0
2022-03-07,161.18,163.28,152.5,152.56,152.56,2844000.0
2022-03-08,153.87,156.3,149.03,149.09,149.09,3055100.0
2022-03-09,152.17,155.91,150.34,152.66,152.66,4506400.0
2022-03-10,149.49,150.49,147.59,149.6,149.6,2602600.0
2022-03-11,151.16,151.52,146.29,146.46,146.46,1797700.0
2022-03-14,147.86,150.33,144.68,144.99,144.99,1922800.0
2022-03-15,145.55,146.96,143.22,145.76,145.76,2769800.0
2022-03-16,147.38,150.86,146.36,148.4,148.4,3279500.0
2022-03-17,146.78,151.62,146.78,150.29,150.29,2833600.0
2022-03-18,149.69,151.82,148.61,151.2,151.2,2983900.0
2022-03-21,149.37,151.66,147.55,148.23,148.23,2223200.0
2022-03-22,148.73,149.14,144.88,145.92,145.92,3146358.0
