Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,43.06,43.17,41.52,41.6,41.6,5998200.0
2022-02-24,39.92,41.37,39.38,41.24,41.24,8270500.0
2022-02-25,41.57,43.58,41.55,43.19,43.19,6501000.0
2022-02-28,41.84,42.95,41.83,42.78,42.78,8447700.0
2022-03-01,42.47,42.49,39.26,39.47,39.47,7461600.0
2022-03-02,39.74,40.29,38.85,39.76,39.76,9080600.0
2022-03-03,40.01,40.3,37.99,38.89,38.89,9557100.0
2022-03-04,37.86,38.0,36.68,37.28,37.28,8592500.0
2022-03-07,36.82,36.88,34.48,34.76,34.76,10639200.0
2022-03-08,35.15,36.05,33.76,35.06,35.06,10675700.0
2022-03-09,36.81,37.59,35.91,36.2,36.2,7234900.0
2022-03-10,35.43,36.06,34.72,35.43,35.43,7169200.0
2022-03-11,35.85,36.1,34.95,35.04,35.04,5767400.0
2022-03-14,35.71,36.6,35.31,35.48,35.48,7635800.0
2022-03-15,35.86,36.92,35.47,36.14,36.14,6824800.0
2022-03-16,36.87,38.39,36.61,37.67,37.67,10449000.0
2022-03-17,36.45,37.46,36.22,37.45,37.45,8272300.0
2022-03-18,37.28,37.74,36.56,37.59,37.59,18726000.0
2022-03-21,37.48,37.63,36.12,36.38,36.38,8499800.0
2022-03-22,37.05,38.2,36.69,37.6,37.6,5916156.0
