Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,77.58,78.74,77.43,77.71,77.71,1839500
2021-11-05,78.75,81.5,78.75,81.31,81.31,2562100
2021-11-08,81.5,81.79,79.84,80.41,80.41,2710100
2021-11-09,79.63,81.78,77.79,79.6,79.6,3931200
2021-11-10,79.3,79.7,77.27,78.55,78.55,2572500
2021-11-11,78.4,79.13,77.17,77.57,77.57,1984700
2021-11-12,77.64,78.0,76.19,76.21,76.21,2038100
2021-11-15,76.6,77.3,76.01,76.43,76.43,1757500
2021-11-16,76.47,76.54,75.32,76.53,76.53,2872200
2021-11-17,76.12,76.94,75.33,75.66,75.66,2314900
2021-11-18,75.7,76.02,74.26,74.93,74.93,2408600
2021-11-19,74.58,74.78,73.01,74.17,74.17,3266400
2021-11-22,74.72,76.05,74.19,75.37,75.37,1880500
2021-11-23,75.63,76.95,75.2,76.51,76.51,2862400
2021-11-24,76.01,76.48,75.34,76.33,76.33,1684400
2021-11-26,73.63,74.49,72.06,72.73,72.73,2905200
2021-11-29,73.26,73.99,72.48,73.2,73.2,2489900
2021-11-30,72.32,72.85,69.91,70.04,70.04,4560000
2021-12-01,71.46,72.25,68.05,68.07,68.07,4241500
2021-12-02,68.73,70.83,68.33,70.18,70.18,3153800
2021-12-03,70.67,70.82,69.55,69.98,69.98,2680100
