Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,142.22,142.68,137.96,138.3,138.3,1242000.0
2022-02-24,134.5,141.65,134.13,141.44,141.44,1617800.0
2022-02-25,141.88,144.98,141.25,144.71,144.71,1042300.0
2022-02-28,141.79,143.19,140.34,142.43,142.43,1875300.0
2022-03-01,141.61,141.74,134.42,135.29,135.29,2808600.0
2022-03-02,136.53,140.16,135.2,138.65,138.65,1630300.0
2022-03-03,138.97,139.37,136.07,136.66,136.66,2174400.0
2022-03-04,134.12,135.51,132.26,133.43,133.43,2558500.0
2022-03-07,133.94,134.27,127.28,127.7,127.7,4066500.0
2022-03-08,128.41,133.34,126.68,128.76,128.76,2004600.0
2022-03-09,132.21,133.64,129.9,130.43,130.43,2769200.0
2022-03-10,128.5,131.13,126.05,130.29,130.29,2022000.0
2022-03-11,130.82,131.58,126.93,127.42,127.42,3147000.0
2022-03-14,128.62,128.85,126.08,126.42,126.42,2358400.0
2022-03-15,128.07,128.15,125.48,127.38,127.38,3103400.0
2022-03-16,128.9,131.85,128.4,131.36,131.36,2467600.0
2022-03-17,130.43,132.66,130.25,132.66,132.66,2224700.0
2022-03-18,131.84,134.26,131.0,133.84,133.84,2550700.0
2022-03-21,133.61,134.75,131.33,132.01,132.01,1770800.0
2022-03-22,132.95,133.05,131.19,131.83,131.83,3415731.0
