Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,64.72,64.96,63.19,63.76,63.29,3963800
2021-11-05,64.45,64.93,63.93,64.29,63.81,3552200
2021-11-08,64.45,64.96,64.41,64.77,64.29,4851900
2021-11-09,64.31,65.15,64.31,64.74,64.26,4232600
2021-11-10,64.52,64.9,63.84,63.89,63.89,4485000
2021-11-11,63.77,64.1,63.38,63.44,63.44,2830400
2021-11-12,63.37,63.47,62.31,62.7,62.7,6044000
2021-11-15,62.97,63.38,62.76,63.28,63.28,3138100
2021-11-16,63.44,63.86,63.04,63.55,63.55,2939100
2021-11-17,63.32,63.43,62.25,62.43,62.43,3247700
2021-11-18,62.38,62.64,61.46,61.87,61.87,3293000
2021-11-19,61.23,61.3,59.97,60.64,60.64,4654500
2021-11-22,61.56,62.82,61.24,62.12,62.12,3907300
2021-11-23,62.64,62.99,62.41,62.91,62.91,3771700
2021-11-24,62.74,63.48,62.48,62.89,62.89,3114900
2021-11-26,60.44,60.7,58.8,60.08,60.08,5189600
2021-11-29,62.08,63.09,60.17,61.06,61.06,6465300
2021-11-30,59.95,60.36,59.05,59.31,59.31,7545600
2021-12-01,60.89,61.42,58.3,58.35,58.35,5346800
2021-12-02,58.99,60.92,58.77,60.38,60.38,4901800
2021-12-03,60.37,60.53,58.13,58.48,58.48,6796700
