Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,196.9,197.87,189.61,189.9,189.9,4471300.0
2022-02-24,184.49,191.76,184.0,191.55,191.55,3917700.0
2022-02-25,191.51,199.5,191.32,199.22,199.22,4098500.0
2022-02-28,197.36,201.18,195.84,199.77,199.77,6173300.0
2022-03-01,226.83,227.1,218.55,219.43,219.43,15776100.0
2022-03-02,222.0,226.12,218.66,224.9,224.9,6357700.0
2022-03-03,226.12,229.19,222.37,223.84,223.84,4604600.0
2022-03-04,222.73,225.09,221.64,224.1,224.1,3996100.0
2022-03-07,224.1,224.61,210.57,211.04,211.04,5743400.0
2022-03-08,211.23,213.91,206.7,208.81,208.81,4463200.0
2022-03-09,213.72,218.42,213.44,216.0,216.0,3183200.0
2022-03-10,213.6,215.48,210.08,214.78,214.78,3155300.0
2022-03-11,215.66,216.53,206.8,206.97,206.97,4040900.0
2022-03-14,208.21,210.91,204.95,208.76,208.76,3168500.0
2022-03-15,210.51,216.2,210.51,215.35,215.35,2866700.0
2022-03-16,216.93,218.7,211.74,215.59,215.59,3029800.0
2022-03-17,215.0,220.9,214.48,220.63,220.63,3655400.0
2022-03-18,218.89,226.14,218.08,226.05,226.05,6543100.0
2022-03-21,226.03,228.46,221.32,223.0,223.0,3023500.0
2022-03-22,223.71,224.63,221.75,222.77,222.77,2402742.0
