Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,61.98,63.36,61.77,61.86,61.86,6230000
2022-04-12,62.4,64.04,62.34,62.83,62.83,5873900
2022-04-13,63.07,64.01,62.76,63.7,63.7,6107600
2022-04-14,63.86,64.39,62.57,62.71,62.71,6511000
2022-04-18,62.42,63.11,62.1,62.44,62.44,4521800
2022-04-19,62.57,65.63,62.43,65.43,65.43,9021100
2022-04-20,66.25,67.43,66.18,66.78,66.78,7942800
2022-04-21,67.6,68.29,65.74,65.94,65.94,7815200
2022-04-22,64.33,65.37,62.63,62.71,62.71,5424600
2022-04-25,62.29,63.44,61.27,63.39,63.39,6331700
2022-04-26,62.65,63.25,61.42,61.42,61.42,5744200
2022-04-27,61.41,62.01,60.73,61.47,61.47,7501700
2022-04-28,62.35,63.71,61.69,63.34,63.34,4236400
2022-04-29,62.76,63.03,61.06,61.28,61.28,6981400
2022-05-02,61.68,62.34,60.54,62.3,62.3,8136500
2022-05-03,62.66,62.68,61.32,62.02,62.02,4447700
2022-05-04,61.98,64.14,61.26,64.07,64.07,4747200
2022-05-05,62.97,63.54,60.92,61.71,61.71,5940400
2022-05-06,61.22,61.22,59.02,60.41,60.41,6099000
2022-05-09,59.78,61.12,59.26,60.35,60.35,4142261
