Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,41.87,42.94,41.85,41.97,41.7,4413900
2021-11-05,42.81,43.39,42.2,42.51,42.24,5020600
2021-11-08,42.66,42.89,41.87,42.35,42.08,2756200
2021-11-09,42.44,42.75,41.58,42.47,42.2,3664100
2021-11-10,41.8,43.28,41.8,42.61,42.34,5754900
2021-11-11,44.8,47.02,44.71,46.18,45.88,9926500
2021-11-12,46.5,46.74,45.39,45.53,45.24,4219500
2021-11-15,45.53,45.61,44.41,44.9,44.61,4118000
2021-11-16,45.1,46.08,44.94,45.59,45.3,2318500
2021-11-17,45.35,45.59,44.84,45.19,44.9,2403400
2021-11-18,45.68,46.07,45.31,45.84,45.55,6162000
2021-11-19,45.84,46.56,45.68,45.99,45.69,3030100
2021-11-22,46.25,47.05,46.06,46.2,45.9,3016700
2021-11-23,45.96,46.58,45.36,45.99,45.69,3328500
2021-11-24,45.03,45.03,43.62,44.07,43.79,5723900
2021-11-26,42.84,42.84,40.56,41.8,41.53,3411400
2021-11-29,42.43,42.75,41.22,41.74,41.47,3389500
2021-11-30,41.32,41.63,39.53,40.12,39.86,4526600
2021-12-01,41.17,42.14,38.87,38.88,38.63,4372700
2021-12-02,39.16,41.17,38.99,40.95,40.95,4070100
2021-12-03,41.19,41.69,40.11,40.82,40.82,3719400
