Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,830.43,835.3,760.56,764.04,764.04,31752300.0
2022-02-24,700.39,802.48,700.0,800.77,800.77,45107400.0
2022-02-25,809.23,819.5,782.4,809.87,809.87,25355900.0
2022-02-28,815.01,876.86,814.71,870.43,870.43,33002300.0
2022-03-01,869.68,889.88,853.78,864.37,864.37,24922300.0
2022-03-02,872.13,886.48,844.27,879.89,879.89,24881100.0
2022-03-03,878.77,886.44,832.6,839.29,839.29,20541200.0
2022-03-04,849.1,855.65,825.16,838.29,838.29,22333200.0
2022-03-07,856.3,866.14,804.57,804.58,804.58,24164700.0
2022-03-08,795.53,849.99,782.17,824.4,824.4,26799700.0
2022-03-09,839.48,860.56,832.01,858.97,858.97,19728000.0
2022-03-10,851.45,854.45,810.36,838.3,838.3,19549500.0
2022-03-11,840.2,843.8,793.77,795.35,795.35,22272800.0
2022-03-14,780.61,800.7,756.04,766.37,766.37,23717400.0
2022-03-15,775.27,805.57,756.57,801.89,801.89,22280400.0
2022-03-16,809.0,842.0,802.26,840.23,840.23,28009600.0
2022-03-17,830.99,875.0,825.72,871.6,871.6,22194300.0
2022-03-18,874.49,907.85,867.39,905.39,905.39,33408500.0
2022-03-21,914.98,942.85,907.09,921.16,921.16,27327200.0
2022-03-22,930.0,997.8,921.75,993.98,993.98,35289519.0
