Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,81.74,82.18,80.6,81.07,80.61,835100
2021-11-05,81.47,81.86,80.99,81.56,81.1,1143000
2021-11-08,81.9,81.95,81.22,81.37,80.91,1051100
2021-11-09,81.21,81.67,80.67,81.52,81.06,1169900
2021-11-10,81.96,82.83,81.26,82.54,82.08,1574100
2021-11-11,82.17,83.25,82.02,83.13,82.66,1580900
2021-11-12,83.13,83.15,80.43,81.23,80.77,2798700
2021-11-15,81.0,84.82,80.53,84.11,83.64,4097500
2021-11-16,84.55,85.61,83.54,83.58,83.11,2434700
2021-11-17,83.57,84.38,82.21,82.59,82.13,1859000
2021-11-18,82.6,83.3,82.26,82.56,82.1,2875000
2021-11-19,82.65,82.92,81.02,81.51,81.05,2018200
2021-11-22,81.69,83.34,81.69,83.13,82.66,1730000
2021-11-23,83.0,83.86,82.65,83.24,82.77,2131600
2021-11-24,83.01,84.37,82.94,83.24,82.77,1314300
2021-11-26,82.0,83.11,81.33,81.34,80.88,1171500
2021-11-29,81.93,82.48,81.55,81.88,81.42,2027500
2021-11-30,80.7,81.94,78.75,78.96,78.96,3299900
2021-12-01,79.55,80.46,78.22,78.26,78.26,2427300
2021-12-02,79.27,81.46,78.95,80.79,80.79,2993600
2021-12-03,81.74,83.08,81.64,82.6,82.6,3070800
