Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,137.33,137.55,133.9,135.7,135.7,1478400
2022-04-19,134.54,140.69,134.49,140.37,140.37,2485900
2022-04-20,140.13,140.35,137.05,137.34,137.34,1339700
2022-04-21,137.63,138.66,131.37,131.53,131.53,1608400
2022-04-22,132.13,136.83,131.44,136.41,136.41,3813700
2022-04-25,135.93,136.46,131.4,132.96,132.96,1895000
2022-04-26,131.86,132.36,124.88,125.01,125.01,3105500
2022-04-27,124.62,125.99,121.51,121.65,121.65,2595300
2022-04-28,123.19,123.87,120.28,123.23,123.23,2609700
2022-04-29,123.19,125.3,119.12,119.51,119.51,1595500
2022-05-02,120.22,121.99,117.84,121.94,121.94,1456800
2022-05-03,121.04,123.61,120.49,121.35,121.35,1432300
2022-05-04,122.62,124.96,120.14,124.76,124.76,1540200
2022-05-05,122.73,124.03,118.31,120.23,120.23,1796200
2022-05-06,119.63,119.9,113.45,114.27,114.27,2498700
2022-05-09,111.74,113.18,105.01,106.15,106.15,4311300
2022-05-10,107.58,108.31,101.85,103.59,103.59,5099900
2022-05-11,103.24,110.33,102.4,105.26,105.26,3931800
2022-05-12,103.17,108.0,102.16,106.21,106.21,2926700
2022-05-13,107.63,111.26,107.15,109.93,109.93,3220600
2022-05-16,109.81,112.04,108.56,110.11,110.11,4691242
