Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,173.0,177.58,173.0,176.56,175.37,3564000
2022-04-19,175.41,179.34,175.23,179.06,177.85,4671900
2022-04-20,181.6,183.66,179.08,179.42,178.21,4553700
2022-04-21,181.36,183.24,176.77,177.23,176.03,4735000
2022-04-22,177.31,177.63,172.93,173.31,172.14,6355900
2022-04-25,173.06,175.17,171.67,173.91,172.74,8737600
2022-04-26,171.43,172.49,168.37,168.44,167.3,9591700
2022-04-27,160.55,171.92,160.5,169.39,168.25,12570400
2022-04-28,170.06,176.88,169.99,175.85,174.66,8233600
2022-04-29,174.04,176.03,169.93,170.25,169.1,6698100
2022-05-02,170.55,174.12,168.08,174.0,172.82,5851500
2022-05-03,173.88,174.79,172.0,172.54,171.37,5438600
2022-05-04,173.18,176.87,167.33,176.23,175.04,10311500
2022-05-05,174.4,174.98,168.65,170.28,169.13,7740400
2022-05-06,167.84,170.08,165.74,167.45,167.45,5724800
2022-05-09,166.11,168.46,164.1,164.94,164.94,7929700
2022-05-10,168.38,170.84,166.3,168.24,168.24,7033300
2022-05-11,166.73,170.34,164.24,164.69,164.69,5892800
2022-05-12,163.89,166.45,162.67,165.9,165.9,5936100
2022-05-13,168.41,170.68,167.58,169.74,169.74,5329600
2022-05-16,168.07,170.14,166.83,168.5,168.5,3648952
