Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,22.51,23.0,21.89,22.11,22.11,3077441
2021-11-05,22.4,22.46,21.11,21.34,21.34,4037886
2021-11-08,21.2,21.43,21.02,21.12,21.12,2005041
2021-11-09,21.06,21.35,20.89,21.13,21.13,1550806
2021-11-10,21.04,21.64,20.8,21.12,21.12,1735214
2021-11-11,21.13,21.5,21.04,21.14,21.14,1145421
2021-11-12,21.29,21.67,21.21,21.29,21.29,1268713
2021-11-15,21.48,21.88,21.39,21.87,21.87,1772705
2021-11-16,21.83,22.65,21.77,22.44,22.44,2454201
2021-11-17,22.4,22.45,21.93,22.22,22.22,2293447
2021-11-18,22.44,22.68,22.04,22.6,22.6,1884841
2021-11-19,22.48,22.94,22.39,22.63,22.63,2361909
2021-11-22,22.69,22.69,21.39,21.5,21.5,2933319
2021-11-23,21.35,21.49,21.08,21.2,21.2,2071951
2021-11-24,20.72,21.53,20.53,21.35,21.35,2554677
2021-11-26,20.44,20.88,20.24,20.63,20.63,1415532
2021-11-29,20.99,21.21,20.61,20.94,20.94,1752876
2021-11-30,20.74,20.76,19.74,20.07,20.07,2825593
2021-12-01,20.5,20.77,19.47,19.54,19.54,2441169
2021-12-02,19.64,20.04,19.17,19.96,19.96,2617992
2021-12-03,20.0,20.16,19.6,19.98,19.98,3586047
