Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,15.72,16.31,15.66,15.9,15.9,3436400
2022-04-12,16.04,16.33,15.78,15.91,15.91,3678900
2022-04-13,15.87,16.36,15.87,16.22,16.22,3263000
2022-04-14,16.24,16.41,16.02,16.06,16.06,3055600
2022-04-18,15.96,16.16,15.79,16.04,16.04,3009600
2022-04-19,16.09,16.9,16.09,16.72,16.72,5239000
2022-04-20,16.85,16.98,16.53,16.54,16.54,3730000
2022-04-21,16.89,17.0,16.22,16.37,16.37,3840800
2022-04-22,16.17,16.29,15.4,15.47,15.47,4582100
2022-04-25,15.35,15.8,15.24,15.77,15.77,5694400
2022-04-26,15.72,15.83,14.7,14.81,14.81,7521400
2022-04-27,14.75,15.26,14.63,15.04,15.04,7441300
2022-04-28,15.31,15.79,15.05,15.64,15.64,5933500
2022-04-29,15.5,15.8,15.32,15.36,15.36,5149600
2022-05-02,15.45,15.58,15.1,15.57,15.57,6788400
2022-05-03,15.6,15.75,15.08,15.33,15.33,10924100
2022-05-04,15.62,15.65,14.79,15.58,15.58,9125800
2022-05-05,15.28,15.34,14.06,14.29,14.29,10252300
2022-05-06,11.23,11.5,10.39,10.89,10.89,30063100
2022-05-09,10.67,11.04,10.57,10.68,10.68,5251762
