Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,44.18,44.96,43.46,43.97,43.97,12677400
2022-04-19,44.52,46.14,44.48,45.95,45.95,13667400
2022-04-20,46.37,46.94,45.75,46.52,46.52,19528700
2022-04-21,50.44,52.46,50.23,50.85,50.85,42225000
2022-04-22,52.01,53.12,51.12,51.46,51.46,23701400
2022-04-25,51.01,51.68,49.73,51.3,51.3,16254000
2022-04-26,50.74,51.06,48.61,48.86,48.86,16046100
2022-04-27,48.75,50.51,48.18,50.28,50.28,13381900
2022-04-28,50.7,51.96,49.93,51.82,51.82,12786700
2022-04-29,51.39,52.48,50.31,50.5,50.5,10692500
2022-05-02,50.49,50.83,48.7,50.19,50.19,13391900
2022-05-03,50.39,51.8,49.65,51.38,51.38,12214900
2022-05-04,51.01,52.13,50.07,51.9,51.9,12953200
2022-05-05,50.98,51.73,48.47,48.9,48.9,15536300
2022-05-06,48.81,48.95,46.5,47.52,47.52,13819500
2022-05-09,46.56,46.88,42.92,43.31,43.31,16391900
2022-05-10,44.2,44.85,43.08,44.12,44.12,14104700
2022-05-11,43.91,45.98,42.94,43.18,43.18,15388000
2022-05-12,42.25,42.82,40.11,41.5,41.5,19112400
2022-05-13,42.35,43.64,42.19,43.27,43.27,13863700
2022-05-16,43.17,44.6,43.0,43.54,43.54,9793370
