Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,55.08,55.32,53.67,54.15,54.15,1345200
2021-11-05,54.6,55.26,54.55,54.81,54.81,1212600
2021-11-08,54.4,54.93,53.98,54.88,54.88,2074500
2021-11-09,55.0,55.22,54.69,55.22,55.22,1224600
2021-11-10,55.21,55.83,54.98,55.45,55.45,1334800
2021-11-11,55.3,55.89,55.01,55.87,55.87,1271800
2021-11-12,55.94,56.28,55.63,55.9,55.9,937600
2021-11-15,56.11,56.94,55.85,56.94,56.94,871600
2021-11-16,56.99,57.06,56.1,56.13,56.13,1766700
2021-11-17,55.99,56.37,54.22,56.32,56.32,1451500
2021-11-18,56.39,56.83,56.2,56.69,56.69,1146500
2021-11-19,56.69,56.69,55.61,56.15,56.15,1166200
2021-11-22,56.08,56.53,55.55,55.63,55.63,1205600
2021-11-23,55.8,56.81,55.39,56.71,56.71,1073800
2021-11-24,56.73,57.93,56.56,57.69,57.69,1509700
2021-11-26,56.64,56.94,55.53,55.69,55.69,892200
2021-11-29,56.14,57.64,55.9,57.47,57.47,3271200
2021-11-30,57.04,58.18,56.73,56.73,56.73,5260200
2021-12-01,57.2,57.44,54.55,54.58,54.58,1750500
2021-12-02,54.86,57.06,54.83,56.65,56.65,1943200
2021-12-03,56.84,57.19,55.82,56.48,56.48,2552400
