Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,467.19,467.72,458.84,459.62,458.26,2840300.0
2022-02-24,449.52,456.59,445.74,455.89,454.54,3933000.0
2022-02-25,456.65,475.78,456.23,475.75,474.35,3314400.0
2022-02-28,465.85,477.31,465.61,475.87,474.47,3918300.0
2022-03-01,470.89,476.96,467.73,476.25,474.84,2917600.0
2022-03-02,478.19,487.17,477.89,485.38,483.95,3675900.0
2022-03-03,486.0,491.38,482.22,486.59,485.15,3139400.0
2022-03-04,480.69,499.66,477.49,498.65,497.18,4170100.0
2022-03-07,500.0,500.0,483.02,486.87,485.43,4123300.0
2022-03-08,478.8,484.49,471.52,473.46,472.06,3849500.0
2022-03-09,482.58,487.72,473.59,485.57,484.14,3115500.0
2022-03-10,479.33,493.71,477.83,491.44,489.99,2834800.0
2022-03-11,487.83,493.8,482.51,482.87,482.87,2615000.0
2022-03-14,490.4,495.59,485.28,487.92,487.92,2704100.0
2022-03-15,490.0,499.94,487.31,497.91,497.91,3043000.0
2022-03-16,499.83,505.5,490.01,498.26,498.26,3497100.0
2022-03-17,496.0,507.12,495.18,507.02,507.02,2357200.0
2022-03-18,508.74,510.68,501.56,506.12,506.12,5059000.0
2022-03-21,505.01,513.0,504.36,507.66,507.66,2617700.0
2022-03-22,509.27,511.85,504.84,505.32,505.32,2746523.0
