Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,248.04,251.59,244.31,244.82,243.63,3346900.0
2022-02-24,240.41,242.8,236.81,242.09,240.91,3944100.0
2022-02-25,242.26,248.35,241.56,246.41,246.41,2548100.0
2022-02-28,240.53,246.49,239.64,245.95,245.95,3358100.0
2022-03-01,244.86,246.55,240.98,242.43,242.43,3327000.0
2022-03-02,243.22,253.38,242.95,252.37,252.37,3528900.0
2022-03-03,253.93,263.59,253.33,255.46,255.46,7218000.0
2022-03-04,254.68,264.79,253.63,264.63,264.63,5924800.0
2022-03-07,264.0,270.14,261.28,261.46,261.46,5794000.0
2022-03-08,261.5,263.25,253.1,253.47,253.47,6229800.0
2022-03-09,257.35,259.35,251.54,253.67,253.67,6204400.0
2022-03-10,252.0,259.91,249.56,259.65,259.65,4501100.0
2022-03-11,259.01,263.4,259.01,261.52,261.52,3873800.0
2022-03-14,263.36,263.87,255.65,257.66,257.66,3839200.0
2022-03-15,261.55,262.29,256.8,260.13,260.13,2913800.0
2022-03-16,262.1,264.93,260.26,264.15,264.15,3958600.0
2022-03-17,260.92,264.42,258.44,263.56,263.56,3761500.0
2022-03-18,264.0,264.16,259.65,261.32,261.32,6341400.0
2022-03-21,260.85,265.44,260.24,264.51,264.51,5158400.0
2022-03-22,266.0,267.2,263.79,265.86,265.86,3702924.0
