Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,213.15,213.53,209.81,210.72,209.68,2451900
2021-11-05,211.52,211.71,207.06,208.22,207.2,2117800
2021-11-08,208.76,209.89,207.27,209.3,208.27,2166100
2021-11-09,209.59,210.13,208.01,209.96,208.93,1552900
2021-11-10,209.89,212.95,209.45,211.64,210.6,2415500
2021-11-11,213.6,216.49,212.28,213.29,212.24,2113700
2021-11-12,212.67,215.08,212.0,213.19,212.14,1600300
2021-11-15,212.86,213.4,210.83,211.52,210.48,1378300
2021-11-16,211.58,213.91,211.51,211.87,210.83,2302800
2021-11-17,211.99,212.26,207.49,207.85,206.83,2542300
2021-11-18,208.26,208.47,205.45,207.47,206.45,3919400
2021-11-19,207.73,210.67,206.3,208.47,208.47,2677600
2021-11-22,208.52,212.3,207.65,210.88,210.88,2220500
2021-11-23,211.03,213.37,208.52,211.81,211.81,2345300
2021-11-24,210.6,212.0,208.26,208.47,208.47,2518700
2021-11-26,206.15,209.53,204.78,205.3,205.3,1941000
2021-11-29,204.16,206.0,201.5,204.64,204.64,3435100
2021-11-30,203.5,203.5,198.1,198.37,198.37,6267600
2021-12-01,200.88,202.15,194.0,194.15,194.15,2938400
2021-12-02,195.28,200.63,193.82,199.9,199.9,2423400
2021-12-03,201.04,202.63,197.76,200.73,200.73,2605400
