Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,51.94,52.89,51.7,51.72,51.72,8520700
2022-04-12,51.29,52.16,50.53,50.82,50.82,7387600
2022-04-13,50.22,50.83,49.78,50.61,50.61,10788100
2022-04-14,51.93,53.35,51.43,52.71,52.71,10823300
2022-04-18,52.61,53.75,52.37,52.74,52.74,8468000
2022-04-19,53.09,53.33,52.42,52.88,52.88,7707000
2022-04-20,53.45,53.73,52.91,53.05,53.05,7978800
2022-04-21,53.6,53.88,52.38,52.64,52.64,6745000
2022-04-22,52.58,52.6,50.76,50.83,50.83,6300900
2022-04-25,50.49,50.97,49.46,50.84,50.84,8400700
2022-04-26,50.07,51.07,49.93,50.03,50.03,6488100
2022-04-27,49.79,50.11,49.32,49.64,49.64,7795500
2022-04-28,50.13,50.26,49.4,50.04,50.04,8219200
2022-04-29,50.13,50.29,48.42,48.56,48.56,8803500
2022-05-02,49.06,49.25,47.85,48.85,48.85,8139900
2022-05-03,49.41,49.84,48.96,49.47,49.47,5843000
2022-05-04,49.27,50.61,48.85,50.53,50.53,8092600
2022-05-05,49.89,49.94,48.54,49.24,49.24,6861000
2022-05-06,49.08,49.49,48.17,49.29,49.29,7779100
2022-05-09,48.68,49.71,48.63,49.66,49.66,3527512
