Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,215.25,217.3,213.41,214.75,214.75,6942700
2022-04-12,216.5,216.99,210.7,211.4,211.4,7446600
2022-04-13,210.43,213.85,207.17,213.27,213.27,8052900
2022-04-14,214.27,215.95,212.53,212.79,212.79,8190300
2022-04-18,211.67,215.83,211.52,213.17,213.17,4744400
2022-04-19,213.1,216.51,212.44,215.7,215.7,5028800
2022-04-20,218.66,220.82,217.39,217.79,217.79,7178300
2022-04-21,219.51,223.92,215.35,216.45,216.45,8850300
2022-04-22,216.24,216.56,207.95,208.17,208.17,6201100
2022-04-25,206.35,210.53,205.33,209.95,209.95,6839400
2022-04-26,206.98,208.56,201.1,201.1,201.1,8155300
2022-04-27,217.37,221.8,213.05,214.11,214.11,15955800
2022-04-28,220.4,224.93,219.27,220.66,220.66,10799100
2022-04-29,218.62,221.2,212.35,213.13,213.13,7962700
2022-05-02,211.77,212.14,206.96,211.53,211.53,8803700
2022-05-03,213.61,213.61,206.27,208.56,208.56,6616900
2022-05-04,209.35,214.8,205.33,214.52,214.52,7191100
2022-05-05,212.27,214.58,203.07,205.24,205.24,7749600
2022-05-06,203.75,205.72,200.22,202.82,202.82,8822500
2022-05-09,200.05,200.75,193.59,195.75,195.75,4702760
