Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,55.75,56.29,55.2,55.7,55.7,2144700
2022-04-19,55.91,57.47,55.91,57.37,57.37,2545300
2022-04-20,57.75,58.68,57.52,57.68,57.68,1732600
2022-04-21,58.77,58.88,56.16,56.49,56.49,1981100
2022-04-22,55.98,56.28,54.5,54.58,54.58,2991600
2022-04-25,54.25,54.46,52.92,54.31,54.31,3538600
2022-04-26,53.78,54.29,52.41,52.42,52.42,3159600
2022-04-27,52.21,53.12,52.0,52.48,52.48,2310000
2022-04-28,53.29,53.57,52.17,53.23,53.23,2375700
2022-04-29,52.86,53.9,51.89,52.0,52.0,6877100
2022-05-02,52.29,52.62,50.95,52.19,52.19,3246700
2022-05-03,52.26,52.33,51.04,51.95,51.95,3655800
2022-05-04,51.72,52.1,50.3,52.05,52.05,5119200
2022-05-05,51.26,51.56,48.7,49.09,49.09,3514500
2022-05-06,48.02,48.43,47.09,47.61,47.61,3646300
2022-05-09,46.99,47.98,46.43,47.51,47.51,4130900
2022-05-10,48.09,48.29,46.13,46.45,46.45,3406400
2022-05-11,46.71,47.11,45.33,45.38,45.38,3157900
2022-05-12,45.39,47.68,45.13,47.25,47.25,3853000
2022-05-13,47.52,48.15,47.09,47.59,47.59,2857300
2022-05-16,47.19,47.49,46.56,46.97,46.97,3093998
