Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,33.72,33.96,32.94,33.54,33.27,12943800
2021-11-23,33.47,33.64,32.72,32.95,32.69,15514800
2021-11-24,32.79,33.44,32.58,33.24,32.98,12147400
2021-11-26,32.5,32.97,32.28,32.61,32.35,8737400
2021-11-29,32.69,32.79,31.55,32.28,32.02,15881300
2021-11-30,32.14,32.14,30.47,30.95,30.71,21862400
2021-12-01,31.0,31.87,29.7,29.7,29.46,17249900
2021-12-02,29.75,30.06,28.9,29.56,29.33,31862500
2021-12-03,30.2,31.16,29.9,31.07,30.82,24827800
2021-12-06,31.11,31.94,30.59,31.12,30.87,14798200
2021-12-07,31.43,32.54,31.09,31.38,31.13,16599200
2021-12-08,31.39,32.1,31.22,31.84,31.59,10991900
2021-12-09,31.49,31.94,30.9,31.07,30.82,10748400
2021-12-10,31.25,31.42,30.79,31.22,30.97,18469600
2021-12-13,31.1,31.14,30.06,30.33,30.09,8300100
2021-12-14,29.88,30.19,29.53,29.6,29.6,12239300
2021-12-15,29.43,29.69,28.66,29.56,29.56,13234200
2021-12-16,29.74,30.32,29.65,29.74,29.74,11798400
2021-12-17,29.75,29.94,28.52,29.52,29.52,18207700
2021-12-20,29.02,29.14,28.29,28.68,28.68,15714400
2021-12-21,28.97,29.95,28.71,29.35,29.35,11746900
2021-12-22,29.3,29.44,28.65,29.17,29.17,12276373
