Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,76.9,77.4,75.07,76.35,75.39,3475100
2021-11-05,77.75,78.08,76.18,77.92,76.94,3490900
2021-11-08,78.91,79.09,77.27,77.78,76.8,2701900
2021-11-09,77.59,78.44,77.0,78.25,77.27,3519900
2021-11-10,77.55,78.79,76.63,76.86,75.89,3523600
2021-11-11,76.85,78.05,76.4,77.22,76.25,2710300
2021-11-12,76.58,77.69,75.86,76.58,75.62,2846900
2021-11-15,76.91,77.92,76.08,77.35,76.38,4343100
2021-11-16,77.94,79.01,77.22,77.94,76.96,4544200
2021-11-17,76.9,77.01,73.29,73.45,73.45,4190400
2021-11-18,73.32,73.93,72.03,72.96,72.96,3983600
2021-11-19,72.19,72.19,68.62,69.07,69.07,5475600
2021-11-22,68.84,72.12,68.82,70.65,70.65,3631700
2021-11-23,71.43,73.19,71.28,72.55,72.55,3416800
2021-11-24,72.08,73.55,71.94,72.95,72.95,3637000
2021-11-26,68.28,68.99,66.26,68.01,68.01,5674400
2021-11-29,69.63,70.54,68.0,68.17,68.17,3889600
2021-11-30,66.7,67.55,65.7,66.94,66.94,9927700
2021-12-01,68.99,70.96,67.05,67.31,67.31,5872500
2021-12-02,67.18,71.64,66.7,71.17,71.17,5242800
2021-12-03,72.25,72.51,69.15,69.71,69.71,4133200
