Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,54.45,54.65,54.38,54.47,53.83,13118200
2021-09-28,54.45,54.69,54.03,54.16,53.52,19528200
2021-09-29,54.09,54.66,54.09,54.38,53.74,14823000
2021-09-30,54.5,54.51,54.0,54.01,53.38,18736600
2021-10-01,54.02,54.56,53.92,54.3,53.66,18618400
2021-10-04,54.45,54.85,54.28,54.5,53.86,18159200
2021-10-05,54.64,54.81,54.32,54.51,53.87,13218200
2021-10-06,54.34,54.59,54.01,54.53,53.89,21339800
2021-10-07,54.04,54.35,53.83,53.9,53.9,18069600
2021-10-08,53.87,53.97,53.22,53.24,53.24,21370700
2021-10-11,53.26,53.29,51.98,52.18,52.18,32088400
2021-10-12,52.18,52.18,51.11,51.33,51.33,42154000
2021-10-13,51.21,51.41,50.86,51.35,51.35,27246900
2021-10-14,51.27,51.99,51.16,51.92,51.92,27764900
2021-10-15,52.08,52.81,52.02,52.27,52.27,26991800
2021-10-18,52.16,52.32,51.64,51.91,51.91,20853500
2021-10-19,52.0,52.42,51.92,52.35,52.35,16094800
2021-10-20,52.79,53.74,52.72,53.61,53.61,30659500
2021-10-21,53.77,53.93,53.07,53.39,53.39,17771100
2021-10-22,53.42,53.42,52.88,52.93,52.93,15994400
2021-10-25,52.97,53.1,52.46,52.58,52.58,15974300
2021-10-26,52.7,53.08,52.58,53.03,53.03,7603547
