Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,49.33,49.38,48.16,48.22,48.22,4939300
2021-09-15,48.08,50.19,48.08,50.12,50.12,5612800
2021-09-16,50.11,50.35,49.32,49.94,49.94,5413100
2021-09-17,49.48,49.76,49.2,49.62,49.62,7437300
2021-09-20,49.07,49.4,47.85,48.4,48.4,5325500
2021-09-21,48.6,49.12,47.91,48.02,48.02,4614500
2021-09-22,48.54,48.68,47.95,48.01,48.01,3896300
2021-09-23,47.95,48.81,47.75,48.46,48.46,2947200
2021-09-24,48.64,48.67,48.24,48.31,48.31,3457200
2021-09-27,48.35,49.21,48.29,48.8,48.8,6688800
2021-09-28,48.72,48.99,48.03,48.09,48.09,6323800
2021-09-29,48.1,50.88,47.85,48.71,48.71,5568400
2021-09-30,48.79,48.93,46.92,47.05,47.05,6449400
2021-10-01,47.13,47.27,46.06,46.8,46.8,4895800
2021-10-04,46.76,47.44,46.52,46.69,46.69,5628800
2021-10-05,46.74,47.22,46.27,47.09,47.09,4149600
2021-10-06,46.86,47.24,46.22,46.91,46.91,4414400
2021-10-07,47.36,48.27,47.24,47.85,47.85,4311400
2021-10-08,47.86,47.91,47.24,47.38,47.38,5643200
2021-10-11,47.4,48.25,47.38,47.42,47.42,3278700
2021-10-12,47.15,47.81,47.07,47.42,47.42,4473500
2021-10-13,47.58,47.68,46.81,47.26,47.26,5978400
2021-10-14,47.41,50.95,45.23,50.9,50.9,19317121
