Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,24.53,24.8,23.52,24.16,24.16,29145500
2022-04-19,23.66,24.68,23.5,24.49,24.49,32055100
2022-04-20,23.49,23.56,22.7,23.01,23.01,41515900
2022-04-21,22.65,23.23,20.92,21.45,21.45,50753200
2022-04-22,21.0,21.91,20.37,20.57,20.57,23510100
2022-04-25,20.06,21.94,19.95,21.5,21.5,35852700
2022-04-26,19.93,20.96,19.63,19.83,19.83,33742500
2022-04-27,19.86,19.95,18.2,18.83,18.83,33842400
2022-04-28,19.02,19.42,17.89,18.35,18.35,23049800
2022-04-29,18.36,19.2,18.09,18.15,18.15,22960400
2022-05-02,18.15,19.45,18.05,19.25,19.25,26110500
2022-05-03,18.98,19.68,18.68,19.27,19.27,19475900
2022-05-04,19.37,19.8,18.81,19.66,19.66,17002200
2022-05-05,19.39,20.08,18.5,18.88,18.88,21442000
2022-05-06,18.55,18.71,17.55,17.75,17.75,22628000
2022-05-09,17.29,17.84,16.86,17.1,17.1,20143700
2022-05-10,17.33,17.97,17.1,17.35,17.35,18456500
2022-05-11,17.24,17.84,16.59,16.62,16.62,17838900
2022-05-12,16.51,17.74,16.51,17.11,17.11,22105700
2022-05-13,17.18,18.25,17.17,18.1,18.1,15286200
2022-05-16,17.92,18.5,17.14,17.21,17.21,14957635
