Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,55.99,55.99,54.29,55.04,55.04,3365200
2021-11-05,55.48,56.7,55.17,56.18,56.18,2802400
2021-11-08,56.57,57.75,55.57,55.78,55.78,3329200
2021-11-09,55.78,56.9,55.65,56.25,56.25,2710200
2021-11-10,55.98,56.52,54.88,55.26,55.26,3658600
2021-11-11,55.4,58.94,55.4,58.82,58.82,5337700
2021-11-12,59.72,62.42,59.16,60.56,60.56,8578600
2021-11-15,60.42,60.7,58.74,58.93,58.93,3263200
2021-11-16,58.91,59.34,58.06,58.48,58.48,2512300
2021-11-17,58.25,58.4,55.73,56.49,56.49,5243100
2021-11-18,56.6,56.79,54.81,55.7,55.7,4059300
2021-11-19,55.7,57.56,55.04,56.02,56.02,4454600
2021-11-22,56.23,57.63,55.37,56.93,56.93,3832900
2021-11-23,59.4,61.22,59.07,60.53,60.53,8367000
2021-11-24,60.1,60.4,59.11,59.87,59.87,2371800
2021-11-26,58.2,58.46,56.86,57.76,57.76,2354500
2021-11-29,58.48,59.1,57.74,58.99,58.99,3501200
2021-11-30,58.09,59.02,56.69,57.84,57.84,4793000
2021-12-01,58.75,60.75,57.66,57.72,57.72,4996600
2021-12-02,57.58,57.72,56.3,56.95,56.95,3667300
2021-12-03,56.95,58.12,56.26,57.52,57.52,4078900
