Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,82.96,83.16,79.71,80.47,79.9,3057000
2021-11-05,82.94,86.03,81.19,84.6,84.0,2718100
2021-11-08,84.46,85.87,83.98,84.76,84.16,2375100
2021-11-09,85.08,86.24,84.16,85.39,84.78,2060000
2021-11-10,85.54,87.64,85.54,87.01,86.39,3049500
2021-11-11,86.78,87.08,85.04,85.23,84.62,1868000
2021-11-12,85.15,85.91,84.72,85.55,84.94,1212100
2021-11-15,85.52,85.52,83.29,84.23,84.23,1436300
2021-11-16,84.29,84.5,82.92,84.0,84.0,1994700
2021-11-17,83.64,86.51,82.93,86.22,86.22,2343900
2021-11-18,86.24,86.65,85.21,86.15,86.15,1483200
2021-11-19,86.09,86.79,83.85,84.19,84.19,2115100
2021-11-22,83.64,85.0,83.25,84.01,84.01,1618100
2021-11-23,84.72,86.48,84.38,85.78,85.78,1567100
2021-11-24,85.87,87.27,85.87,87.07,87.07,1512900
2021-11-26,84.93,85.25,81.78,81.92,81.92,1879400
2021-11-29,82.34,83.68,81.98,82.04,82.04,2684600
2021-11-30,81.47,81.84,79.21,79.62,79.62,4177800
2021-12-01,80.63,82.15,79.26,79.36,79.36,2148400
2021-12-02,80.06,82.77,79.79,82.08,82.08,2401000
2021-12-03,82.23,82.56,79.95,80.4,80.4,2880000
