Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,55.85,56.02,53.76,53.95,53.95,21860700.0
2022-02-24,51.76,52.83,50.68,52.71,52.71,40917600.0
2022-02-25,53.17,54.44,53.09,54.11,54.11,27493500.0
2022-02-28,52.63,53.4,52.21,53.37,53.37,31078200.0
2022-03-01,52.44,52.72,50.01,50.29,50.29,54135500.0
2022-03-02,51.32,52.82,51.0,52.22,52.22,34894300.0
2022-03-03,52.35,52.56,50.94,51.24,51.24,24159700.0
2022-03-04,50.04,50.06,48.18,48.79,48.79,35871600.0
2022-03-07,48.58,48.58,45.77,45.81,45.81,56332500.0
2022-03-08,46.68,48.2,46.35,46.46,46.46,60018100.0
2022-03-09,48.79,49.75,48.35,49.16,49.16,34560200.0
2022-03-10,48.26,49.57,47.85,49.01,49.01,26178800.0
2022-03-11,49.67,50.0,48.43,48.47,48.47,23695900.0
2022-03-14,49.66,50.38,49.3,49.86,49.86,28166600.0
2022-03-15,50.16,50.63,49.33,50.11,50.11,25080600.0
2022-03-16,51.05,52.22,50.73,51.6,51.6,34672800.0
2022-03-17,51.02,51.49,50.23,51.48,51.48,29930300.0
2022-03-18,50.85,51.54,50.04,51.42,51.42,60949500.0
2022-03-21,51.66,51.8,50.61,51.14,51.14,23411500.0
2022-03-22,52.41,54.2,52.3,53.39,53.39,28543257.0
