Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,27.4,27.98,27.34,27.6,27.19,6393900
2021-11-23,27.9,28.22,27.73,28.08,27.66,6450000
2021-11-24,27.98,28.58,27.97,28.55,28.13,5738300
2021-11-26,27.52,28.42,27.52,28.24,27.82,5522300
2021-11-29,28.58,28.66,28.01,28.01,27.59,8074800
2021-11-30,27.63,27.73,26.73,26.79,26.39,15416900
2021-12-01,27.31,27.78,26.63,26.64,26.24,10227200
2021-12-02,26.73,27.35,26.54,27.25,26.85,7697700
2021-12-03,27.48,27.64,26.89,27.11,26.71,6904200
2021-12-06,27.45,27.6,27.03,27.32,26.91,10094000
2021-12-07,27.6,28.03,27.48,27.76,27.35,10437100
2021-12-08,27.8,27.99,27.56,27.64,27.23,12322000
2021-12-09,27.12,27.12,26.51,26.62,26.62,10289800
2021-12-10,26.8,26.85,26.26,26.64,26.64,8062700
2021-12-13,26.48,26.58,25.88,26.24,26.24,8127800
2021-12-14,26.28,26.5,25.82,25.88,25.88,10045100
2021-12-15,25.89,26.11,25.43,25.98,25.98,9794100
2021-12-16,26.22,26.58,26.06,26.14,26.14,8970000
2021-12-17,25.93,26.09,25.37,25.79,25.79,15674600
2021-12-20,25.48,25.49,24.86,25.35,25.35,7364000
2021-12-21,25.44,25.8,25.37,25.66,25.66,5918400
2021-12-22,25.58,25.86,25.35,25.75,25.75,3992296
