Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,48.16,48.81,47.71,47.97,47.73,1251300
2021-11-05,48.46,49.86,48.3,48.76,48.51,1968000
2021-11-08,49.02,49.81,48.78,49.12,48.87,2641600
2021-11-09,47.9,49.38,47.78,48.42,48.42,2578000
2021-11-10,48.06,49.78,48.06,49.03,49.03,2197600
2021-11-11,49.04,49.94,48.77,49.69,49.69,1365300
2021-11-12,49.62,49.84,48.96,49.0,49.0,1217800
2021-11-15,49.1,49.49,48.41,49.13,49.13,1811600
2021-11-16,49.28,49.99,49.06,49.19,49.19,1483300
2021-11-17,48.86,49.41,48.56,49.01,49.01,1895500
2021-11-18,49.11,49.29,47.8,48.0,48.0,1281500
2021-11-19,47.35,47.47,46.57,46.77,46.77,1866800
2021-11-22,46.95,48.5,46.82,48.14,48.14,1337900
2021-11-23,48.38,48.73,47.83,47.99,47.99,1296500
2021-11-24,47.7,47.91,46.79,46.84,46.84,1239400
2021-11-26,45.27,46.5,44.48,46.34,46.34,1513300
2021-11-29,46.94,47.1,45.91,46.12,46.12,1501700
2021-11-30,45.38,45.4,43.31,43.39,43.39,4461400
2021-12-01,44.52,45.5,43.5,43.52,43.52,3752400
2021-12-02,44.02,45.27,43.78,44.97,44.97,2081000
2021-12-03,44.86,46.14,44.53,44.76,44.76,2494400
