Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,18.5,18.73,17.73,17.86,17.86,6082600
2021-11-05,18.13,18.38,17.87,18.11,18.11,5587500
2021-11-08,18.2,18.38,18.15,18.25,18.25,3905800
2021-11-09,18.14,18.29,17.96,18.05,18.05,4432200
2021-11-10,18.15,18.58,18.1,18.55,18.55,6115500
2021-11-11,18.58,18.58,17.95,18.0,18.0,4891800
2021-11-12,17.98,18.52,17.98,18.27,18.27,5264700
2021-11-15,18.41,18.5,17.81,17.83,17.83,6688500
2021-11-16,17.89,17.91,17.41,17.43,17.43,7711300
2021-11-17,17.32,17.35,16.91,17.09,17.09,7847100
2021-11-18,17.13,17.29,16.55,16.85,16.85,8485800
2021-11-19,16.82,16.93,16.43,16.65,16.65,8641800
2021-11-22,16.72,17.15,16.52,17.01,17.01,6867100
2021-11-23,17.11,17.35,16.87,16.9,16.9,6093800
2021-11-24,16.85,17.04,16.56,16.61,16.61,5593400
2021-11-26,16.38,16.51,16.17,16.4,16.4,5300400
2021-11-29,16.48,16.58,16.05,16.16,16.16,5707900
2021-11-30,16.08,16.15,15.69,15.82,15.82,12170700
2021-12-01,16.08,16.51,16.01,16.23,16.23,8494700
2021-12-02,16.37,17.41,16.33,17.15,17.15,15752400
2021-12-03,17.16,17.37,16.87,17.24,17.24,7613800
