Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,38.86,38.87,37.08,37.28,37.11,5515800.0
2022-02-24,36.66,38.27,36.46,38.23,38.06,5911100.0
2022-02-25,38.3,39.23,37.95,39.2,39.02,4572500.0
2022-02-28,39.51,39.51,38.24,38.88,38.7,6970800.0
2022-03-01,38.89,39.32,38.22,38.62,38.44,4277300.0
2022-03-02,38.89,39.67,38.76,39.49,39.31,4062300.0
2022-03-03,39.68,39.8,39.02,39.17,39.17,3412500.0
2022-03-04,38.65,39.37,38.57,39.3,39.3,3546900.0
2022-03-07,39.6,39.83,38.47,38.47,38.47,5827700.0
2022-03-08,38.47,39.32,38.19,38.52,38.52,5764100.0
2022-03-09,39.43,39.8,38.84,38.99,38.99,5246400.0
2022-03-10,38.48,40.21,38.46,40.1,40.1,9253700.0
2022-03-11,40.32,40.5,39.48,39.62,39.62,4380700.0
2022-03-14,39.71,40.19,38.47,38.77,38.77,4369900.0
2022-03-15,39.18,39.59,38.84,39.47,39.47,6602400.0
2022-03-16,40.0,40.06,38.34,39.27,39.27,5060400.0
2022-03-17,39.01,39.55,38.92,39.51,39.51,5132600.0
2022-03-18,39.3,40.01,38.91,39.99,39.99,8330000.0
2022-03-21,40.0,40.23,39.01,39.19,39.19,3455800.0
2022-03-22,39.39,39.58,37.96,38.2,38.2,5783790.0
