Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,73.5,73.78,72.25,73.46,73.46,1677800
2022-04-19,73.8,78.66,73.76,77.8,77.8,3531200
2022-04-20,77.81,79.28,77.56,77.75,77.75,1964100
2022-04-21,78.86,79.72,74.84,75.42,75.42,2612300
2022-04-22,75.42,76.35,73.05,73.2,73.2,2361500
2022-04-25,71.02,72.58,70.08,72.21,72.21,2492100
2022-04-26,71.15,71.6,67.9,68.22,68.22,3700000
2022-04-27,68.3,69.6,66.01,67.95,67.95,3062500
2022-04-28,68.98,71.47,66.81,70.74,70.74,2521200
2022-04-29,70.91,74.3,70.29,70.48,70.48,2420500
2022-05-02,70.96,72.25,69.02,71.71,71.71,2181800
2022-05-03,71.8,73.18,70.44,71.69,71.69,1846000
2022-05-04,71.85,72.63,68.14,71.96,71.96,3562100
2022-05-05,70.99,71.16,67.53,68.49,68.49,2944500
2022-05-06,67.78,68.61,65.37,66.3,66.3,2933400
2022-05-09,64.83,65.3,61.03,61.33,61.33,4649600
2022-05-10,62.64,63.41,59.72,61.65,61.65,5824600
2022-05-11,61.15,63.38,58.6,58.85,58.85,6717600
2022-05-12,58.0,59.9,56.36,58.56,58.56,5424300
2022-05-13,60.77,66.72,60.73,66.27,66.27,5997100
2022-05-16,64.93,67.56,63.79,63.94,63.94,3646170
