Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,66.14,66.22,64.88,64.93,64.48,3701500.0
2022-02-24,65.08,65.53,63.81,64.83,64.38,4720400.0
2022-02-25,65.33,67.3,65.26,67.23,66.76,4985000.0
2022-02-28,66.6,67.46,66.5,67.33,66.86,4173000.0
2022-03-01,67.09,67.95,66.08,66.51,66.05,4585200.0
2022-03-02,66.54,67.88,66.47,67.56,67.09,3256200.0
2022-03-03,67.86,69.28,67.57,69.13,68.65,2822100.0
2022-03-04,68.95,71.32,68.64,71.26,70.77,3515300.0
2022-03-07,71.14,71.78,70.34,71.55,71.05,4388600.0
2022-03-08,71.83,72.56,70.14,70.19,69.7,2883100.0
2022-03-09,70.49,70.65,69.21,69.84,69.36,2866900.0
2022-03-10,69.33,70.39,69.25,70.16,69.67,1945200.0
2022-03-11,70.95,70.96,69.99,70.37,69.88,3031500.0
2022-03-14,70.24,70.86,69.26,69.51,69.51,2392600.0
2022-03-15,70.11,70.4,69.32,70.23,70.23,4454600.0
2022-03-16,69.94,70.0,67.98,69.25,69.25,3809300.0
2022-03-17,69.16,70.14,68.98,69.7,69.7,3974500.0
2022-03-18,69.7,69.7,68.31,68.79,68.79,5743500.0
2022-03-21,68.69,69.94,68.67,69.32,69.32,2559000.0
2022-03-22,69.71,69.71,68.86,69.21,69.21,2265880.0
