Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,193.08,199.46,193.02,198.14,197.77,2797900
2021-11-05,199.94,201.0,195.53,198.51,198.51,1992000
2021-11-08,202.6,212.5,199.36,208.01,208.01,6407800
2021-11-09,212.6,213.27,200.58,205.0,205.0,3113600
2021-11-10,200.1,204.12,196.15,197.89,197.89,3196400
2021-11-11,201.74,208.9,201.13,208.78,208.78,2901100
2021-11-12,209.01,216.63,207.78,213.8,213.8,3812500
2021-11-15,217.0,217.0,210.02,215.27,215.27,1920800
2021-11-16,213.51,219.7,213.46,219.02,219.02,3501100
2021-11-17,219.0,220.35,216.01,216.18,216.18,1789600
2021-11-18,220.75,223.93,215.88,220.57,220.57,2588900
2021-11-19,221.12,221.99,219.02,220.87,220.87,1667700
2021-11-22,222.99,230.03,218.35,220.53,220.53,3194300
2021-11-23,219.22,222.96,212.34,220.25,220.25,2367600
2021-11-24,217.0,230.33,217.0,230.05,230.05,2254400
2021-11-26,225.22,228.47,221.2,223.95,223.95,1533600
2021-11-29,228.87,234.18,225.39,233.08,233.08,2936000
2021-11-30,232.68,239.79,226.79,228.45,228.45,4907300
2021-12-01,232.26,234.13,217.89,219.14,219.14,3093100
2021-12-02,216.66,223.33,215.38,218.7,218.7,3393500
2021-12-03,221.13,229.4,211.26,217.06,217.06,4255100
