Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,64.68,64.89,63.83,64.41,63.56,17720100
2021-11-05,65.05,65.33,64.56,65.02,64.16,18554600
2021-11-08,65.55,66.38,65.38,65.72,64.85,17696000
2021-11-09,65.77,66.37,65.31,66.36,65.48,18781300
2021-11-10,65.32,65.65,63.77,64.19,64.19,20177200
2021-11-11,64.19,64.83,64.02,64.31,64.31,13319300
2021-11-12,63.96,64.37,63.58,63.82,63.82,18151900
2021-11-15,63.76,64.77,63.22,64.37,64.37,18849200
2021-11-16,64.34,65.37,64.34,65.02,65.02,17028700
2021-11-17,64.38,65.24,64.18,64.31,64.31,15497000
2021-11-18,64.16,64.53,63.11,63.61,63.61,16948200
2021-11-19,61.89,62.03,60.41,60.67,60.67,32035500
2021-11-22,60.32,62.54,60.32,61.51,61.51,21994400
2021-11-23,62.19,63.38,61.92,63.13,63.13,21185900
2021-11-24,62.58,63.85,62.58,63.48,63.48,15869700
2021-11-26,60.52,61.42,59.54,61.25,61.25,24979600
2021-11-29,62.57,63.14,61.29,61.59,61.59,18946400
2021-11-30,60.46,61.19,59.66,59.84,59.84,34979800
2021-12-01,60.9,62.03,59.75,59.79,59.79,30630600
2021-12-02,59.74,61.58,59.14,61.28,61.28,29216000
2021-12-03,61.92,62.23,60.35,60.89,60.89,22011400
