Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,55.7,56.47,55.25,55.42,55.42,1463500.0
2022-02-24,54.29,56.44,53.98,56.28,56.28,2101300.0
2022-02-25,56.56,58.7,56.5,58.69,58.69,2660000.0
2022-02-28,54.25,54.7,52.8,54.14,54.14,7547500.0
2022-03-01,54.16,55.24,51.39,54.36,54.36,5353600.0
2022-03-02,54.21,55.32,52.46,52.48,52.48,4347600.0
2022-03-03,52.75,53.48,52.35,53.3,53.3,3276600.0
2022-03-04,52.7,52.97,51.83,52.57,52.57,2580500.0
2022-03-07,52.3,52.37,50.99,51.5,51.5,1842100.0
2022-03-08,51.7,51.83,50.39,50.44,50.44,2031300.0
2022-03-09,51.82,52.75,51.2,51.31,51.31,2484900.0
2022-03-10,50.58,51.19,50.1,50.68,50.68,3860600.0
2022-03-11,50.96,51.15,48.65,48.77,48.77,3332700.0
2022-03-14,48.87,48.94,47.4,47.69,47.69,2510900.0
2022-03-15,47.86,48.39,47.46,47.71,47.71,2054400.0
2022-03-16,48.44,49.1,47.82,48.62,48.62,2533600.0
2022-03-17,48.25,48.95,48.14,48.76,48.76,2638900.0
2022-03-18,48.42,48.87,47.87,48.66,48.66,6863700.0
2022-03-21,49.01,49.8,48.79,49.25,49.25,2982200.0
2022-03-22,49.24,50.28,49.22,49.68,49.68,2983266.0
