Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,190.87,191.25,186.82,187.06,187.06,2070600.0
2022-02-24,184.01,191.7,183.02,190.95,190.95,2903200.0
2022-02-25,191.48,195.77,191.28,194.71,194.71,1742600.0
2022-02-28,192.54,195.5,191.89,193.65,193.65,2220200.0
2022-03-01,193.91,195.0,191.3,192.54,192.54,1669100.0
2022-03-02,193.28,197.27,193.15,196.07,196.07,1355300.0
2022-03-03,197.15,197.29,194.45,195.87,195.87,1052200.0
2022-03-04,194.96,196.96,193.45,196.84,196.84,1467800.0
2022-03-07,195.23,195.24,187.9,188.09,188.09,1825000.0
2022-03-08,185.77,187.35,181.16,181.39,181.39,2414400.0
2022-03-09,185.55,190.7,183.8,189.58,189.58,2630400.0
2022-03-10,187.39,189.6,186.14,189.22,189.22,1995100.0
2022-03-11,189.95,190.28,185.17,185.29,185.29,1589700.0
2022-03-14,186.42,187.26,183.89,184.66,184.66,2044800.0
2022-03-15,186.36,189.67,185.63,189.11,189.11,1261600.0
2022-03-16,190.7,193.71,187.47,191.92,191.92,2064000.0
2022-03-17,192.54,194.66,192.12,193.68,193.68,2199700.0
2022-03-18,196.67,197.16,193.37,195.9,195.9,2613700.0
2022-03-21,195.21,196.66,192.5,194.71,194.71,1891000.0
2022-03-22,195.18,197.38,193.35,196.88,196.88,2373296.0
